t,G,I,B,Te,Treg
1.76,-88.6992,2265.6529,11720.0509,26.9356,1001.4896
1.77,-90.9702,2277.2657,11605.0952,26.7847,1001.4844
1.78,-93.2530,2288.7607,11488.7683,26.6355,1001.4793
1.79,-95.5473,2300.1368,11371.1149,26.4880,1001.4741
1.8,-97.8530,2311.3930,11252.1806,26.3422,1001.4689
1.81,-100.1701,2322.5280,11132.0114,26.1980,1001.4636
1.82,-102.4984,2333.5409,11010.6543,26.0554,1001.4583
1.83,-104.8378,2344.4308,10888.1572,25.9143,1001.4530
1.84,-107.1881,2355.1968,10764.5684,25.7748,1001.4477
1.85,-109.5493,2365.8380,10639.9371,25.6368,1001.4424
1.86,-111.9211,2376.3536,10514.3133,25.5003,1001.4370
1.87,-114.3035,2386.7429,10387.7477,25.3652,1001.4316
1.8800000000000001,-116.6962,2397.0052,10260.2918,25.2316,1001.4262
1.8900000000000001,-119.0993,2407.1398,10131.9977,25.0993,1001.4207
1.9000000000000001,-121.5124,2417.1463,10002.9184,24.9684,1001.4152
1.9100000000000001,-123.9355,2427.0241,9873.1075,24.8388,1001.4097
1.92,-126.3685,2436.7726,9742.6196,24.7105,1001.4042
1.93,-128.8111,2446.3916,9611.5097,24.5835,1001.3987
1.94,-131.2632,2455.8807,9479.8339,24.4577,1001.3931
1.95,-133.7247,2465.2395,9347.6488,24.3331,1001.3875
1.96,-136.1955,2474.4678,9215.0118,24.2097,1001.3819
1.97,-138.6752,2483.5654,9081.9811,24.0875,1001.3763
1.98,-141.1638,2492.5322,8948.6156,23.9664,1001.3706
1.99,-143.6612,2501.3681,8814.9750,23.8464,1001.3650
2.0,-146.1671,2510.0731,8681.1197,23.7275,1001.3593
2.0100000000000002,-148.6814,2518.6471,8547.1108,23.6096,1001.3536
2.02,-151.2039,2527.0903,8413.0104,23.4928,1001.3478
2.0300000000000002,-153.7344,2535.4028,8278.8809,23.3770,1001.3421
2.04,-156.2728,2543.5847,8144.7859,23.2622,1001.3363
2.05,-158.8189,2551.6363,8010.7816,23.1483,1001.3305
2.06,-161.3729,2559.5553,7876.8419,23.0356,1001.3247
2.07,-163.9345,2567.3417,7743.0163,22.9238,1001.3188
2.08,-166.5039,2574.9957,7609.3816,22.8132,1001.3130
2.09,-169.0807,2582.5179,7476.0126,22.7036,1001.3071
2.1,-171.6649,2589.9088,7342.9823,22.5950,1001.3012
2.11,-174.2563,2597.1689,7210.3616,22.4875,1001.2953
2.12,-176.8548,2604.2988,7078.2193,22.3810,1001.2893
2.13,-179.4604,2611.2990,6946.6226,22.2755,1001.2834
2.14,-182.0727,2618.1701,6815.6364,22.1709,1001.2774
2.15,-184.6918,2624.9128,6685.3240,22.0674,1001.2714
2.16,-187.3176,2631.5278,6555.7463,21.9648,1001.2654
2.17,-189.9498,2638.0158,6426.9626,21.8632,1001.2594
2.18,-192.5883,2644.3774,6299.0301,21.7625,1001.2533
2.19,-195.2331,2650.6136,6172.0041,21.6627,1001.2472
2.2,-197.8841,2656.7249,6045.9379,21.5638,1001.2411
2.21,-200.5410,2662.7124,5920.8828,21.4659,1001.2350
2.22,-203.2038,2668.5768,5796.8883,21.3688,1001.2289
2.23,-205.8724,2674.3189,5674.0017,21.2727,1001.2228
2.24,-208.5466,2679.9398,5552.2685,21.1774,1001.2166
2.25,-211.2263,2685.4404,5431.7324,21.0829,1001.2104
2.2600000000000002,-213.9115,2690.8216,5312.4348,20.9893,1001.2043
2.27,-216.6020,2696.0844,5194.4153,20.8965,1001.1980
2.2800000000000002,-219.2976,2701.2298,5077.7116,20.8046,1001.1918
2.29,-221.9984,2706.2590,4962.3595,20.7135,1001.1856
2.3000000000000003,-224.7041,2711.1730,4848.3926,20.6232,1001.1793
2.31,-227.4147,2715.9729,4735.8427,20.5337,1001.1731
2.32,-230.1300,2720.6598,4624.7396,20.4449,1001.1668
2.33,-232.8500,2725.2350,4515.1113,20.3570,1001.1605
2.34,-235.5746,2729.6997,4406.9836,20.2698,1001.1541
