,Glicose,Insulina,Beta,T,TReg
625.3781722715339,97.7091246697834,7.98390485911259,599.0212346215864,0.9217238235382478,3.8568262014048846
625.4781847730967,97.70922706644218,7.984001921918039,599.0231218071439,0.9217529662205197,3.856806977311662
625.5781972746594,97.70931426972281,7.984093035782343,599.0240594399634,0.9217706980981315,3.8567963587928813
625.678209776222,97.70938602171758,7.984178286361914,599.0240165871139,0.9217766702340139,3.856794618994909
625.7782222777847,97.70944215371689,7.984257757334503,599.022970806163,0.921770631421164,3.85680195550384
625.8782347793474,97.7094825862093,7.984331530399204,599.0209081451753,0.9217524281826458,3.856818490345497
625.9782472809101,97.70950732888156,7.984399685276452,599.0178231427135,0.9217220047715896,3.8568442699854324
626.0782597824729,97.7095164806185,7.984462299708024,599.0137188278378,0.9216794031711927,3.8568792653289257
626.1782722840355,97.70951022950318,7.9845194494570375,599.0086067201065,0.9216247630947186,3.8569233717209856
626.2782847855982,97.70948885281676,7.984571208307951,599.0025068295752,0.921558321985498,3.856976408946349
626.3782972871609,97.70945271703859,7.984617648066567,598.9954476567976,0.9214804150169277,3.8570381212294818
626.4783097887235,97.70940227784612,7.984658838560025,598.987466192825,0.9213914750924713,3.857108177234576
626.5783222902863,97.70933808011502,7.98469484763681,598.9786079192063,0.9212920328456592,3.8571861700655554
626.678334791849,97.70926075791904,7.984725741166748,598.9689268079885,0.9211827166400882,3.8572716172660697
626.7783472934117,97.70917103453017,7.984751583041002,598.9584853217159,0.9210642525694219,3.8573639608194976
626.8783597949744,97.70906972241846,7.984772435172083,598.9473544134308,0.9209374644573904,3.8574625671489464
626.978372296537,97.7089577232522,7.984788357493838,598.9356135266734,0.9208032738577906,3.857566727117252
627.0783847980998,97.70883602789775,7.984799407961459,598.923350595481,0.9206627000544857,3.8576756560269785
627.1783972996625,97.70870571641967,7.9848056425514775,598.9106620443895,0.920516860061406,3.857788493620418
627.2784098012252,97.70856795808068,7.984807115261766,598.8976527884317,0.9203669686225481,3.8579043040795917
627.3784223027878,97.70842401134162,7.98480387811154,598.884436233139,0.9202143382119752,3.8580220760262485
627.4784348043505,97.70827522386152,7.984795981141356,598.8711342745397,0.9200603790338174,3.858140722521866
627.5784473059133,97.70812303249754,7.984783472413111,598.8578772991604,0.919906599022271,3.8582590810676507
627.678459807476,97.70796896330498,7.984766398010044,598.8448041840252,0.9197546038415997,3.8583759136045366
627.7784723090386,97.7078146315373,7.984744802036735,598.832062296656,0.9196060968861329,3.8584899065131864
627.8784848106013,97.70766174164616,7.984718726619107,598.8198074950724,0.9194628792802673,3.858599670613992
627.978497312164,97.7075120872813,7.984688211904422,598.8082041277919,0.9193268498784659,3.858703741167072
628.0785098137267,97.70736755129066,7.984653296061286,598.7974250338294,0.9192000052652585,3.858800577872275
628.1785223152895,97.70723010572031,7.984614015279644,598.787651542698,0.9190844397552411,3.8588885648691775
628.2785348168521,97.7071018118145,7.984570403770784,598.779073474408,0.9189823453930773,3.8589660107370842
628.3785473184148,97.7069848200156,7.984522493767334,598.771889139468,0.9188960119534963,3.8590311484950286
628.4785598199775,97.70688136996415,7.984470315523264,598.7663053388839,0.9188278269412946,3.8590821356017715
628.5785723215402,97.70679379049884,7.984413897313888,598.7625373641596,0.9187802755913348,3.8591170539558033
628.6785848231029,97.7067244996565,7.984353265435858,598.7608089972964,0.9187559408685466,3.8591339098953426
628.7785973246656,97.70667600467215,7.984288444207166,598.7613525107939,0.9187575034679262,3.859130634198336
628.8786098262283,97.70665090197892,7.984219455967152,598.764408667649,0.9187877418145362,3.8591050820824586
628.978622327791,97.70665187720812,7.984146321076491,598.7702267213564,0.9188495320635061,3.8590550332051143
629.0786348293536,97.70666253997832,7.984049170545864,598.7788377910861,0.9189416019714252,3.858980719411343
629.1786473309164,97.7065754451164,7.983816620258423,598.7889628264097,0.9190400504462718,3.8588963862349126
629.2786598324791,97.7063865078715,7.98344915546058,598.8001823550703,0.9191400630206297,3.8588057598276384
629.3786723340418,97.70611078570336,7.982967251134668,598.8122933353346,0.9192409624017145,3.858710126721362
629.4786848356044,97.70576266539382,7.982390468412905,598.825101918246,0.9193421032703637,3.8586107148197573
629.5786973371671,97.70535586304685,7.9817374545773845,598.8384234476242,0.919442872281036,3.858508693398328
629.6787098387299,97.70490342408856,7.981025943060082,598.852082460065,0.9195426880618123,3.858405173104412
629.7787223402926,97.70441772326718,7.980272753442853,598.8659126849411,0.9196410012143943,3.8583012059571766
629.8787348418552,97.70391046465308,7.979493791457433,598.8797570444009,0.919737294314106,3.858197785347622
629.9787473434179,97.70339268163873,7.978704048985435,598.8934676533697,0.9198310819098927,3.85809584603858
630.0787598449806,97.70287473693875,7.977917604058352,598.9069058195489,0.9199219105243216,3.857996264164714
630.1787723465434,97.7023663225899,7.977147620857559,598.9199420434163,0.9200093586535814,3.857899857232518
630.278784848106,97.70187645995104,7.97640634971431,598.932456018226,0.9200930367674821,3.857807384120319
630.3787973496687,97.70141349970316,7.9757051271097374,598.9443366300086,0.9201725873094558,3.8577195450782744
630.4788098512314,97.70098512184943,7.975054375674854,598.9554819575711,0.920247684696556,3.8576369817283744
630.5788223527941,97.70059833571506,7.974463604190553,598.9657992724966,0.9203180353194579,3.85756027706444
